context_len,all_pages_max_abs_err,budget_fraction,J_pages,R_tokens,full_p50_ms,gated_p50_ms,full_p95_ms,gated_p95_ms,cache_bytes_full,cache_bytes_gated
512,4.317276624667826e-06,1.0,31,496,0.12974999845027924,0.1732921227812767,0.38408394902944565,0.4021250642836094,6291456,6094848
512,4.317276624667826e-06,0.5,15,240,0.12974999845027924,0.12474996037781239,0.38408394902944565,0.15945802442729473,6291456,2949120
512,4.317276624667826e-06,0.25,7,112,0.12974999845027924,0.12800004333257675,0.38408394902944565,0.16733305528759956,6291456,1376256
512,4.317276624667826e-06,0.125,3,48,0.12974999845027924,0.1443750225007534,0.38408394902944565,0.1759161241352558,6291456,589824
512,4.317276624667826e-06,0.0625,1,16,0.12974999845027924,0.14245882630348206,0.38408394902944565,0.15670806169509888,6291456,196608
1024,4.321885614297447e-06,1.0,63,1008,0.16945786774158478,0.16887509264051914,0.18458301201462746,0.19220798276364803,12582912,12386304
1024,4.321885614297447e-06,0.5,31,496,0.16945786774158478,0.14754198491573334,0.18458301201462746,0.17949985340237617,12582912,6094848
1024,4.321885614297447e-06,0.25,15,240,0.16945786774158478,0.13974984176456928,0.18458301201462746,0.1540828961879015,12582912,2949120
1024,4.321885614297447e-06,0.125,7,112,0.16945786774158478,0.13924995437264442,0.18458301201462746,0.18345890566706657,12582912,1376256
1024,4.321885614297447e-06,0.0625,3,48,0.16945786774158478,0.13091601431369781,0.18458301201462746,0.15279208309948444,12582912,589824
2048,3.712636837008808e-06,1.0,127,2032,0.15958305448293686,0.15450012870132923,0.17170794308185577,0.2647079527378082,25165824,24969216
2048,3.712636837008808e-06,0.5,63,1008,0.15958305448293686,0.15487498603761196,0.17170794308185577,0.1824169885367155,25165824,12386304
2048,3.712636837008808e-06,0.25,31,496,0.15958305448293686,0.1447091344743967,0.17170794308185577,0.38291700184345245,25165824,6094848
2048,3.712636837008808e-06,0.125,15,240,0.15958305448293686,0.1378338783979416,0.17170794308185577,0.16370904631912708,25165824,2949120
2048,3.712636837008808e-06,0.0625,7,112,0.15958305448293686,0.13979198411107063,0.17170794308185577,0.23529096506536007,25165824,1376256
