context_len,all_pages_max_abs_err,budget_fraction,J,P,R,full_p50_ms,gated_p50_ms,full_p95_ms,gated_p95_ms,full_bytes,would_be_gated_bytes,physical_bytes_actual,pages_reclaimed
512,4.317276624667826e-06,1.0,31,32,496,0.379249919205904,0.1788749359548092,0.4182499833405018,0.18958398140966892,6291456,6094848,6291456,0
512,4.317276624667826e-06,0.5,15,32,240,0.379249919205904,0.1712918747216463,0.4182499833405018,0.18274993635714054,6291456,2949120,6291456,0
512,4.317276624667826e-06,0.25,7,32,112,0.379249919205904,0.148500083014369,0.4182499833405018,0.16083288937807083,6291456,1376256,6291456,0
512,4.317276624667826e-06,0.125,3,32,48,0.379249919205904,0.14804210513830185,0.4182499833405018,0.15987479127943516,6291456,589824,6291456,0
512,4.317276624667826e-06,0.0625,1,32,16,0.379249919205904,0.14637503772974014,0.4182499833405018,0.1563339028507471,6291456,196608,6291456,0
1024,4.321885614297447e-06,1.0,63,64,1008,0.1640410628169775,0.1625420991331339,0.20679202862083912,0.1795829739421606,12582912,12386304,12582912,0
1024,4.321885614297447e-06,0.5,31,64,496,0.1640410628169775,0.17583300359547138,0.20679202862083912,0.18370803445577621,12582912,6094848,12582912,0
1024,4.321885614297447e-06,0.25,15,64,240,0.1640410628169775,0.1527499407529831,0.20679202862083912,0.17120898701250553,12582912,2949120,12582912,0
1024,4.321885614297447e-06,0.125,7,64,112,0.1640410628169775,0.14108303003013134,0.20679202862083912,0.15549990348517895,12582912,1376256,12582912,0
1024,4.321885614297447e-06,0.0625,3,64,48,0.1640410628169775,0.14008302241563797,0.20679202862083912,0.14558294788002968,12582912,589824,12582912,0
2048,3.712636837008808e-06,1.0,127,128,2032,0.17516710795462132,0.1646250020712614,0.18904195167124271,0.1809578388929367,25165824,24969216,25165824,0
2048,3.712636837008808e-06,0.5,63,128,1008,0.17516710795462132,0.16008294187486172,0.18904195167124271,0.1937500201165676,25165824,12386304,25165824,0
2048,3.712636837008808e-06,0.25,31,128,496,0.17516710795462132,0.1532500609755516,0.18904195167124271,0.17516594380140305,25165824,6094848,25165824,0
2048,3.712636837008808e-06,0.125,15,128,240,0.17516710795462132,0.15087495557963848,0.18904195167124271,0.16216677613556385,25165824,2949120,25165824,0
2048,3.712636837008808e-06,0.0625,7,128,112,0.17516710795462132,0.1497089397162199,0.18904195167124271,0.16345898620784283,25165824,1376256,25165824,0
