policy,budget_fraction,n,D_h_mean,D_h_ci95,answer_acc_mean,answer_acc_ci95,top1_mean,J_mean,controller_ms_mean
attention_proxy_pages,0.0625,43,0.5479321462906799,0.3940707624012787,0.8837209302325582,0.09694820467528129,0.8837209302325582,4.790697674418604,0.029475780117303826
attention_proxy_pages,0.125,43,0.0737365193235399,0.034604477237499966,1.0,0.0,1.0,9.465116279069768,0.03193509440089381
attention_proxy_pages,0.25,43,0.02139406576007186,0.007164777341903756,1.0,0.0,1.0,18.906976744186046,0.0371812344637028
attention_proxy_pages,0.5,43,0.006409290985927598,0.0027906412148214336,1.0,0.0,1.0,37.72093023255814,0.04344953354014907
attention_proxy_pages,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.05928581298957037
full_pages,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.036035783502251596
recent_pages,0.0625,43,1.8843238062048187,0.6476517576920336,0.627906976744186,0.14618568394837725,0.627906976744186,4.790697674418604,0.0189971124623404
recent_pages,0.125,43,1.8510855203223002,0.6400349180038892,0.627906976744186,0.14618568394837725,0.627906976744186,9.465116279069768,0.0216473208003959
recent_pages,0.25,43,1.8427251668354847,0.6425275448953018,0.627906976744186,0.14618568394837725,0.627906976744186,18.906976744186046,0.02616478216856025
recent_pages,0.5,43,1.3516390667276128,0.468751581963111,0.6976744186046512,0.13889777028270772,0.6976744186046512,37.72093023255814,0.03309977825644405
recent_pages,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.04910841735816279
seeded_random_pages,0.0625,43,1.7064170061144677,0.6296797381628562,0.6744186046511628,0.14171831739576804,0.6744186046511628,4.790697674418604,0.0402180066462173
seeded_random_pages,0.125,43,1.5121444473887393,0.5824547171189015,0.6976744186046512,0.13889777028270772,0.6976744186046512,9.465116279069768,0.041984454836956286
seeded_random_pages,0.25,43,1.3906280657079917,0.5764313637800921,0.7441860465116279,0.13195756784495458,0.7441860465116279,18.906976744186046,0.0456143495475137
seeded_random_pages,0.5,43,0.960300415338948,0.4863143558091734,0.813953488372093,0.1176906567219618,0.813953488372093,37.72093023255814,0.053336302381615304
seeded_random_pages,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.06922672307768533
sink_recent_pages,0.0625,43,1.832594361622328,0.6492754206666617,0.627906976744186,0.14618568394837725,0.627906976744186,4.790697674418604,0.02188379551435626
sink_recent_pages,0.125,43,1.8067473075073746,0.6451505018072484,0.627906976744186,0.14618568394837725,0.627906976744186,9.465116279069768,0.022362349121723066
sink_recent_pages,0.25,43,1.8384722839953895,0.6483896335222764,0.6744186046511628,0.14171831739576804,0.6744186046511628,18.906976744186046,0.02724812690948331
sink_recent_pages,0.5,43,2.023925109023524,0.7073079087496214,0.6511627906976745,0.14414102823093078,0.6511627906976745,37.72093023255814,0.03387985837667487
sink_recent_pages,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.05039435183239538
