policy,budget_fraction,n,D_h_mean,D_h_ci95,answer_acc_mean,answer_acc_ci95,top1_mean,J_mean,controller_ms_mean
attention_proxy_pages,0.0625,43,0.5479321462906799,0.3940707624012787,0.8837209302325582,0.09694820467528129,0.8837209302325582,4.790697674418604,0.029475780117303826
attention_proxy_pages,0.125,43,0.0737365193235399,0.034604477237499966,1.0,0.0,1.0,9.465116279069768,0.03193509440089381
attention_proxy_pages,0.25,43,0.02139406576007186,0.007164777341903756,1.0,0.0,1.0,18.906976744186046,0.0371812344637028
attention_proxy_pages,0.5,43,0.006409290985927598,0.0027906412148214336,1.0,0.0,1.0,37.72093023255814,0.04344953354014907
attention_proxy_pages,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.05928581298957037
full_pages,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.036035783502251596
loss_budgeted_online,0.0625,43,0.5753544421380825,0.39294554903622503,0.8604651162790697,0.10479473355908611,0.8604651162790697,4.790697674418604,0.08644084012958893
loss_budgeted_online,0.125,43,0.08141868517820244,0.03581108924131912,0.9767441860465116,0.04558139534883721,0.9767441860465116,9.465116279069768,0.09361339386465937
loss_budgeted_online,0.25,43,0.04661653719641949,0.01515203562565725,0.9767441860465116,0.04558139534883721,0.9767441860465116,18.906976744186046,0.09727034566187581
loss_budgeted_online,0.5,43,0.030431619773700756,0.01271438076285849,0.9767441860465116,0.04558139534883721,0.9767441860465116,37.72093023255814,0.11633343041636224
loss_budgeted_online,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.1343750708931407
loss_budgeted_oracle,0.0625,43,0.5486140507424523,0.3940654251067778,0.9069767441860465,0.0878466632024412,0.9069767441860465,4.790697674418604,0.03173447560605614
loss_budgeted_oracle,0.125,43,0.06865647171951711,0.03378893040019652,1.0,0.0,1.0,9.465116279069768,0.03248730912631334
loss_budgeted_oracle,0.25,43,0.027670136043621268,0.008819275565045224,1.0,0.0,1.0,18.906976744186046,0.036914719182044954
loss_budgeted_oracle,0.5,43,0.007570588241230064,0.0023632842487353333,1.0,0.0,1.0,37.72093023255814,0.04429657142176185
loss_budgeted_oracle,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.05942351336396018
recent_pages,0.0625,43,1.8843238062048187,0.6476517576920336,0.627906976744186,0.14618568394837725,0.627906976744186,4.790697674418604,0.0189971124623404
recent_pages,0.125,43,1.8510855203223002,0.6400349180038892,0.627906976744186,0.14618568394837725,0.627906976744186,9.465116279069768,0.0216473208003959
recent_pages,0.25,43,1.8427251668354847,0.6425275448953018,0.627906976744186,0.14618568394837725,0.627906976744186,18.906976744186046,0.02616478216856025
recent_pages,0.5,43,1.3516390667276128,0.468751581963111,0.6976744186046512,0.13889777028270772,0.6976744186046512,37.72093023255814,0.03309977825644405
recent_pages,1.0,43,0.0,0.0,1.0,0.0,1.0,75.23255813953489,0.04910841735816279
