context_len,all_pages_max_abs_err,budget_fraction,J,P,R,full_p50_ms,gated_p50_ms,full_p95_ms,gated_p95_ms,full_bytes,would_be_gated_bytes,physical_bytes_actual,pages_reclaimed,net_full_ms_per_step,net_gated_ms_per_step,net_speedup
512,4.317276624667826e-06,0.5,15,32,240,0.379249919205904,0.1712918747216463,0.4182499833405018,0.18274993635714054,6291456,2949120,6291456,0,9.101998060941696,4.2273384237358735,2.1531273696554165
512,4.317276624667826e-06,0.25,7,32,112,0.379249919205904,0.148500083014369,0.4182499833405018,0.16083288937807083,6291456,1376256,6291456,0,9.101998060941696,3.6612723380067322,2.48602049250917
512,4.317276624667826e-06,0.125,3,32,48,0.379249919205904,0.14804210513830185,0.4182499833405018,0.15987479127943516,6291456,589824,6291456,0,9.101998060941696,3.646623917183904,2.4960067908430466
512,4.317276624667826e-06,0.0625,1,32,16,0.379249919205904,0.14637503772974014,0.4182499833405018,0.1563339028507471,6291456,196608,6291456,0,9.101998060941696,3.5994417456433525,2.5287249257356255
1024,4.321885614297447e-06,0.5,31,64,496,0.1640410628169775,0.17583300359547138,0.20679202862083912,0.18370803445577621,12582912,6094848,12582912,0,3.93698550760746,4.336325516707675,0.9079082030254474
1024,4.321885614297447e-06,0.25,15,64,240,0.1640410628169775,0.1527499407529831,0.20679202862083912,0.17120898701250553,12582912,2949120,12582912,0,3.93698550760746,3.76326892373347,1.0461610869152684
1024,4.321885614297447e-06,0.125,7,64,112,0.1640410628169775,0.14108303003013134,0.20679202862083912,0.15549990348517895,12582912,1376256,12582912,0,3.93698550760746,3.4796061145878117,1.1314457378098466
1024,4.321885614297447e-06,0.0625,3,64,48,0.1640410628169775,0.14008302241563797,0.20679202862083912,0.14558294788002968,12582912,589824,12582912,0,3.93698550760746,3.4484333781049004,1.1416736459531214
2048,3.712636837008808e-06,0.5,63,128,1008,0.17516710795462132,0.16008294187486172,0.18904195167124271,0.1937500201165676,25165824,12386304,25165824,0,4.204010590910912,3.9583240354130433,1.0620683282368597
2048,3.712636837008808e-06,0.25,31,128,496,0.17516710795462132,0.1532500609755516,0.18904195167124271,0.17516594380140305,25165824,6094848,25165824,0,4.204010590910912,3.7752718090751145,1.1135650102875194
2048,3.712636837008808e-06,0.125,15,128,240,0.17516710795462132,0.15087495557963848,0.18904195167124271,0.16216677613556385,25165824,2949120,25165824,0,4.204010590910912,3.714612327775983,1.131749485531897
2048,3.712636837008808e-06,0.0625,7,128,112,0.17516710795462132,0.1497089397162199,0.18904195167124271,0.16345898620784283,25165824,1376256,25165824,0,4.204010590910912,3.6794553933188667,1.1425632713320915
