context_len,P,budget,J,full_active_bytes,compact_active_bytes,actual_freed_bytes,would_be_freed_bytes,reclaim_ratio,actual_reduction_frac,logical_reduction_frac,transient_peak_bytes,transient_peak_vs_full,compaction_s,kernel_full_p50_ms,kernel_compact_p50_ms,kernel_speedup,kernel_eq_err,R
2048,128,0.5,64,25165824,12582912,12582912,12582912.0,1.0,0.5,0.5,37748992,1.5000101725260417,0.06205787509679794,0.20520808175206184,0.23216591216623783,0.8838854930827512,3.712636837008808e-06,1024
2048,128,0.25,32,25165824,6291456,18874368,18874368.0,1.0,0.75,0.75,31457408,1.2500050862630208,0.0011117910034954548,0.27066702023148537,0.2454170025885105,1.10288617893892,3.712636837008808e-06,512
2048,128,0.125,16,25165824,3145728,22020096,22020096.0,1.0,0.875,0.875,28311616,1.1250025431315105,0.0012810418847948313,0.24816696532070637,0.20429096184670925,1.2147721224540502,3.712636837008808e-06,256
2048,128,0.0625,8,25165824,1572864,23592960,23592960.0,1.0,0.9375,0.9375,26738720,1.0625012715657551,0.0009745829738676548,0.39074989035725594,0.17562508583068848,2.224909320380112,3.712636837008808e-06,128
4096,256,0.5,128,50331648,25165824,25165824,25165824.0,1.0,0.5,0.5,75497984,1.5000101725260417,0.0023551671765744686,0.6178747862577438,0.39725005626678467,1.5553799842454705,2.64050316494107e-06,2048
4096,256,0.25,64,50331648,12582912,37748736,37748736.0,1.0,0.75,0.75,62914816,1.2500050862630208,0.0020529578905552626,0.4511659499257803,0.2501250710338354,1.803761406487514,2.64050316494107e-06,1024
4096,256,0.125,32,50331648,6291456,44040192,44040192.0,1.0,0.875,0.875,56623232,1.1250025431315105,0.0015849580522626638,0.29916688799858093,0.2077091485261917,1.4403163756692046,2.64050316494107e-06,512
4096,256,0.0625,16,50331648,3145728,47185920,47185920.0,1.0,0.9375,0.9375,53477440,1.0625012715657551,0.0015792499762028456,0.3242089878767729,0.18091709353029728,1.7920307116943552,2.64050316494107e-06,256
8192,512,0.5,256,100663296,50331648,50331648,50331648.0,1.0,0.5,0.5,150995968,1.5000101725260417,0.0031079580076038837,0.5186658818274736,0.41683297604322433,1.2443014627846756,1.6793776068902908e-06,4096
8192,512,0.25,128,100663296,25165824,75497472,75497472.0,1.0,0.75,0.75,125829632,1.2500050862630208,0.002429625019431114,0.5668331868946552,0.1587499864399433,3.5706030570849454,1.6793776068902908e-06,2048
8192,512,0.125,64,100663296,12582912,88080384,88080384.0,1.0,0.875,0.875,113246464,1.1250025431315105,0.001915541011840105,0.41949981823563576,0.2579169813543558,1.6264916564732859,1.6793776068902908e-06,1024
8192,512,0.0625,32,100663296,6291456,94371840,94371840.0,1.0,0.9375,0.9375,106954880,1.0625012715657551,0.002149083884432912,0.4189170431345701,0.18404098227620125,2.2762160794484156,1.6793776068902908e-06,512
16384,1024,0.5,512,201326592,100663296,100663296,100663296.0,1.0,0.5,0.5,301991936,1.5000101725260417,0.004679708043113351,0.7172089535742998,0.4064580425620079,1.7645337980115987,1.0980048839514742e-06,8192
16384,1024,0.25,256,201326592,50331648,150994944,150994944.0,1.0,0.75,0.75,251659264,1.2500050862630208,0.0030747498385608196,0.8827080018818378,0.19329087808728218,4.566733881167653,1.0980048839514742e-06,4096
16384,1024,0.125,128,201326592,25165824,176160768,176160768.0,1.0,0.875,0.875,226492928,1.1250025431315105,0.0027551669627428055,0.9028750937432051,0.4053330048918724,2.227489700682179,1.0980048839514742e-06,2048
16384,1024,0.0625,64,201326592,12582912,188743680,188743680.0,1.0,0.9375,0.9375,213909760,1.0625012715657551,0.0025774589739739895,0.9210421703755856,0.4070410504937172,2.262774649530839,1.0980048839514742e-06,1024
