P,budget,prefix_blocks,private_full,private_gated,footprint_multiplier,concurrent_full,concurrent_gated,concurrency_multiplier,gate_reclaimable_per_seq,gate_excludes_shared_prefix,model,context_len,prefix_frac,iso_quality
128,1.0,0,128,128,1.0,128,128,1.0,0.0,True,llama-3-8b,2048,0.0,True
128,0.5,0,128,64,2.0,128,256,2.0,63.0,True,llama-3-8b,2048,0.0,True
128,0.25,0,128,32,4.0,128,512,4.0,95.0,True,llama-3-8b,2048,0.0,True
128,0.125,0,128,16,8.0,128,1024,8.0,111.0,True,llama-3-8b,2048,0.0,False
128,0.0625,0,128,8,16.0,128,2048,16.0,119.0,True,llama-3-8b,2048,0.0,False
128,1.0,32,96,96,1.0,170,170,1.0,0.0,True,llama-3-8b,2048,0.25,True
128,0.5,32,96,48,2.0,170,340,2.0,48.0,True,llama-3-8b,2048,0.25,True
128,0.25,32,96,24,4.0,170,681,4.0058823529411764,72.0,True,llama-3-8b,2048,0.25,True
128,0.125,32,96,12,8.0,170,1362,8.011764705882353,84.0,True,llama-3-8b,2048,0.25,False
128,0.0625,32,96,6,16.0,170,2725,16.029411764705884,90.0,True,llama-3-8b,2048,0.25,False
512,1.0,0,512,512,1.0,32,32,1.0,0.0,True,llama-3-8b,8192,0.0,True
512,0.5,0,512,256,2.0,32,64,2.0,255.0,True,llama-3-8b,8192,0.0,True
512,0.25,0,512,128,4.0,32,128,4.0,383.0,True,llama-3-8b,8192,0.0,True
512,0.125,0,512,64,8.0,32,256,8.0,447.0,True,llama-3-8b,8192,0.0,False
512,0.0625,0,512,32,16.0,32,512,16.0,479.0,True,llama-3-8b,8192,0.0,False
512,1.0,128,384,384,1.0,42,42,1.0,0.0,True,llama-3-8b,8192,0.25,True
512,0.5,128,384,192,2.0,42,84,2.0,192.0,True,llama-3-8b,8192,0.25,True
512,0.25,128,384,96,4.0,42,169,4.023809523809524,288.0,True,llama-3-8b,8192,0.25,True
512,0.125,128,384,48,8.0,42,338,8.047619047619047,336.0,True,llama-3-8b,8192,0.25,False
512,0.0625,128,384,24,16.0,42,677,16.11904761904762,360.0,True,llama-3-8b,8192,0.25,False
2048,1.0,0,2048,2048,1.0,8,8,1.0,0.0,True,llama-3-8b,32768,0.0,True
2048,0.5,0,2048,1024,2.0,8,16,2.0,1023.0,True,llama-3-8b,32768,0.0,True
2048,0.25,0,2048,512,4.0,8,32,4.0,1535.0,True,llama-3-8b,32768,0.0,True
2048,0.125,0,2048,256,8.0,8,64,8.0,1791.0,True,llama-3-8b,32768,0.0,False
2048,0.0625,0,2048,128,16.0,8,128,16.0,1919.0,True,llama-3-8b,32768,0.0,False
2048,1.0,512,1536,1536,1.0,10,10,1.0,0.0,True,llama-3-8b,32768,0.25,True
2048,0.5,512,1536,768,2.0,10,20,2.0,768.0,True,llama-3-8b,32768,0.25,True
2048,0.25,512,1536,384,4.0,10,41,4.1,1152.0,True,llama-3-8b,32768,0.25,True
2048,0.125,512,1536,192,8.0,10,82,8.2,1344.0,True,llama-3-8b,32768,0.25,False
2048,0.0625,512,1536,96,16.0,10,165,16.5,1440.0,True,llama-3-8b,32768,0.25,False
